leafValue((OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg")) "L" 3.2e-07) vs leafValue((OP("/M0" "gm") / (- OP("/M0" "ids"))) "L" 3.2e-07) X,leafValue((OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg")) "L" 3.2e-07) vs leafValue((OP("/M0" "gm") / (- OP("/M0" "ids"))) "L" 3.2e-07) Y,leafValue((OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg")) "L" 3.65e-07) vs leafValue((OP("/M0" "gm") / (- OP("/M0" "ids"))) "L" 3.65e-07) X,leafValue((OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg")) "L" 3.65e-07) vs leafValue((OP("/M0" "gm") / (- OP("/M0" "ids"))) "L" 3.65e-07) Y
49.0271819632602,0.08890450806821691,49.0265761781404,0.1675384152594751
49.01618335230341,0.1456551581336729,49.01540949689189,0.2745169886586484
49.00510765524494,0.2385917114942608,49.00411915423982,0.4497280363548981
48.99393148046714,0.3907617398225646,48.99266888353655,0.7366411744871545
48.9826249946848,0.6398754998771535,48.98101240634718,1.206386149746017
48.97115011169598,1.047622869522963,48.96909066197796,1.975329839648609
48.9594582293409,1.714902425626596,48.95682829434612,3.233805535861465
48.94748734336655,2.806708276446143,48.94412917110915,5.293056817626218
48.93515834299818,4.592788482806405,48.93087067719591,8.661919063967781
48.92237032175718,7.514050334234351,48.91689645265728,14.17202944649163
48.90899459339253,12.29098010641786,48.90200716262871,23.18218746427903
48.89486707832383,20.10059111219407,48.88594876618075,37.91172805236061
48.87977863354187,32.86508347977804,48.86839763683171,61.98401710936982
48.86346276399195,53.72248951963575,48.84894171071389,101.3118478421616
48.84558004083403,87.79354476221783,48.82705665059405,165.5385108419868
48.82569837091285,143.4302594205265,48.80207578470041,270.3806634700541
48.80326806219283,234.2468371056478,48.77315231670216,441.4320805921266
48.77759039817327,382.4193031584247,48.73921201586025,720.3286263855946
48.74777816686115,624.0386659209717,48.69889431216011,1174.718810331912
48.71270629925031,1017.780037993016,48.65047947044432,1914.34579036075
48.67095049178463,1658.910246031725,48.59179939299721,3116.899222304531
48.62071145782635,2701.857675394848,48.52012972640449,5069.3951072395
48.55972236186064,4396.449240545995,48.4320615471742,8234.053806551397
48.48513719262353,7145.830578841449,48.32335231483507,13352.46418389589
48.39339855686669,11598.52103650967,48.18875851031392,21608.85778948418
48.28008500079964,18793.67323512548,48.02185713004061,34883.21655679943
48.13974102423327,30388.20504848416,47.81487088150259,56138.12991435183
47.96569819080625,49007.84572382511,47.55852351660778,89999.46373058532
47.74990408225653,78781.70694414541,47.24196801157002,143607.8642440515
47.48278827488853,126140.99618236,46.85285109550234,227830.3174284786
47.15321168226323,200983.5504970164,46.37760059875795,358917.3704048281
46.74856704013991,318318.7728355431,45.80204084917376,560654.3531519729
46.25512103958214,500496.7295066279,45.11244346629359,866961.5331921367
45.65870524243497,780066.5657046188,44.29708731821917,1324731.837500096
44.94585972974235,1203174.788466962,43.34831017000653,1996467.635439644
44.10549038419742,1833186.942809237,42.26487274098496,2962063.645245692
43.13099646056435,2753924.552858433,41.05424042509604,4319036.02129325
42.02265074310672,4071665.981063118,39.73418666053257,6180814.703052114
40.78979551617064,5915078.259028553,38.33305246732928,8673499.797370393
39.45223227421312,8432767.974406147,36.88817743822298,11932556.30961738
38.04015440083742,11789237.81952019,35.44247488095878,16101772.46712949
36.59220805104282,16161396.75671394,34.03971743687838,21336846.53145247
35.15176497413112,21738688.17473516,32.71955540862997,27815014.74728796
33.76207943635688,28729681.59699197,31.51336217268226,35750674.57522418
32.46139699355761,37376555.09381624,30.44164764501694,45415804.48211922
31.2790685705141,47977033.98758756,29.51319868885719,57163573.96945047
30.23330655754239,60912051.83022844,28.72559024276812,71453559.18213688
29.33062997020665,76677041.76476026,28.06647159379537,88876628.34062721
28.56657373302587,95914772.90898359,27.51510378642946,110176155.8813605
27.92706005349874,119446954.1374231,27.04390432686612,136259667.8030863
27.3899509555411,148299660.887301,26.62008648374195,168191999.1417924
26.92660170530277,183714045.8717356,26.20770772839822,207159092.7573565
26.50355542498477,227129876.9562371,25.77044350056584,254392950.0521955
