leafValue((OP("/M0" "gm") * OP("/M0" "rout")) "L" 3.2e-07) vs leafValue((OP("/M0" "gm") / (- OP("/M0" "ids"))) "L" 3.2e-07) X,leafValue((OP("/M0" "gm") * OP("/M0" "rout")) "L" 3.2e-07) vs leafValue((OP("/M0" "gm") / (- OP("/M0" "ids"))) "L" 3.2e-07) Y,leafValue((OP("/M0" "gm") * OP("/M0" "rout")) "L" 3.65e-07) vs leafValue((OP("/M0" "gm") / (- OP("/M0" "ids"))) "L" 3.65e-07) X,leafValue((OP("/M0" "gm") * OP("/M0" "rout")) "L" 3.65e-07) vs leafValue((OP("/M0" "gm") / (- OP("/M0" "ids"))) "L" 3.65e-07) Y
49.0271819632602,33.05265117816771,49.0265761781404,41.20546227273425
49.01618335230341,33.04540810693298,49.01540949689189,41.19640072651618
49.00510765524494,33.03816065493011,49.00411915423982,41.1873248877582
48.99393148046714,33.03090623012863,48.99266888353655,41.17822908241448
48.9826249946848,33.02364152697061,48.98101240634718,41.16910606997639
48.97115011169598,33.01636232561851,48.96909066197796,41.15994660958336
48.9594582293409,33.00906324104348,48.95682829434612,41.15073890955672
48.94748734336655,33.00173740289977,48.94412917110915,41.14146792487345
48.93515834299818,32.9943760444301,48.93087067719591,41.13211446178824
48.92237032175718,32.98696798173838,48.91689645265728,41.12265403722226
48.90899459339253,32.97949894871263,48.90200716262871,41.11305542721293
48.89486707832383,32.97195074993314,48.88594876618075,41.10327881901176
48.87977863354187,32.96430018327867,48.86839763683171,41.09327346232195
48.86346276399195,32.9565176683767,48.84894171071389,41.08297468546743
48.84558004083403,32.94856550355885,48.82705665059405,41.07230010960023
48.82569837091285,32.9403956522908,48.80207578470041,41.06114485285489
48.80326806219283,32.93194693529828,48.77315231670216,41.04937546670162
48.77759039817327,32.92314147468284,48.73921201586025,41.03682228807259
48.74777816686115,32.91388019986158,48.69889431216011,41.02326982451572
48.71270629925031,32.90403718204134,48.65047947044432,41.00844471582138
48.67095049178463,32.8934525154888,48.59179939299721,40.99200074186973
48.62071145782635,32.88192341099507,48.52012972640449,40.97350028217649
48.55972236186064,32.86919311387386,48.4320615471742,40.95239159793962
48.48513719262353,32.85493721485214,48.32335231483507,40.92798133661778
48.39339855686669,32.83874690151253,48.18875851031392,40.89940180667129
48.28008500079964,32.82010872743665,48.02185713004061,40.86557292325013
48.13974102423327,32.79838059725646,47.81487088150259,40.8251594130771
47.96569819080625,32.77276394458722,47.55852351660778,40.77652507025265
47.74990408225653,32.74227261319727,47.24196801157002,40.71768781009953
47.48278827488853,32.70569987558869,46.85285109550234,40.64628224251017
47.15321168226323,32.6615865112325,46.37760059875795,40.55954070259045
46.74856704013991,32.60819511142931,45.80204084917376,40.45430914313147
46.25512103958214,32.54349892925283,45.11244346629359,40.32712048844159
45.65870524243497,32.46519762585812,44.29708731821917,40.17435343751552
44.94585972974235,32.37077673569591,43.34831017000653,39.99250618546834
44.10549038419742,32.25763136331975,42.26487274098496,39.77860717035665
43.13099646056435,32.12327514478403,41.05424042509604,39.53076274847039
42.02265074310672,31.96564916032615,39.73418666053257,39.24880041707488
40.78979551617064,31.78352795728109,38.33305246732928,38.93490869186594
39.45223227421312,31.57698844720272,36.88817743822298,38.59411694333912
38.04015440083742,31.34786512791798,35.44247488095878,38.23443053360371
36.59220805104282,31.10007459471603,34.03971743687838,37.8664718445843
35.15176497413112,30.83967622362201,32.71955540862997,37.50258904489316
33.76207943635688,30.57456755571455,31.51336217268226,37.15555159965416
32.46139699355761,30.31379858396863,30.44164764501694,36.83708527608895
31.2790685705141,30.06660332283345,29.51319868885719,36.55654078097176
30.23330655754239,29.84133807591408,28.72559024276812,36.31992020705463
29.33062997020665,29.64453663869152,28.06647159379537,36.12935092588118
28.56657373302587,29.48023519626627,27.51510378642946,35.98297558447612
27.92706005349874,29.3496218738826,27.04390432686612,35.87517451269827
27.3899509555411,29.25098373304216,26.62008648374195,35.7970542205741
26.92660170530277,29.17989271913649,26.20770772839822,35.7371792105961
26.50355542498477,29.12958732467714,25.77044350056584,35.68254085026643
26.08470992543165,29.09153480910504,25.27512890678224,35.61971962884107
25.63423792519876,29.05616337711824,24.69564180310056,35.53612222741583
25.12022255792442,29.01372072432522,24.01626535333068,35.42111080228845
24.51849009535879,28.95516197828275,23.23355247266455,35.26683513384972
23.81573064733038,28.87293225456443,22.35606613643618,35.0686410845892
23.01096846447919,28.76151576629259,21.40205268013836,34.82503310274913
22.11487501821228,28.61767653064465,20.39576624482616,34.53726811230113
21.14712193061853,28.44039078601162,19.36347575629873,34.20871794302476
20.13258042148293,28.23053612732398,18.3300645500954,33.84414802098036
19.09740033238074,27.99043646025952,17.31673455726897,33.44903325341944
18.06581150736475,27.72336279402949,16.33989464421612,33.0289880769846
17.05807022188358,27.43306808033413,15.41101575000852,32.5893439439071
16.08956014797007,27.12340367851219,14.53711743768273,32.1348741019825
15.17079609429174,26.79803640109214,13.72156734733666,31.6696452831807
14.30799173323157,26.46026404557058,12.96495737265757,31.19696722765105
13.50388682565493,26.11291500122777,12.26591361842502,30.71941034652007
12.75861679294114,25.75831250911471,11.62177287843028,30.23886573055707
12.07049838710388,25.39828409935454,11.02910861144296,29.75662741804873
11.43667590618781,25.03419939534967,10.48411724420526,29.27348262008251
10.8536177961793,24.66702318659809,9.982887728630761,28.78980058155629
10.31747772686733,24.2973743894071,9.521579941830812,28.30561462234754
9.824344066848896,23.92558471001641,9.096535380913942,27.82069467512213
9.370403132704025,23.55175331518141,8.704339578190293,27.33460948618852
8.95203892476745,23.17579561599227,8.341851341094765,26.84677878892004
8.565887900856897,22.79748548780052,8.006210050593205,26.35651639771159
8.208863076269237,22.41649101529833,7.694829091706283,25.86306547006382
7.878158001780002,22.03240429234621,7.405381052872535,25.36562727029172
7.571238159084008,21.6447660247914,7.135778523968711,24.86338472914922
7.285825009704914,21.25308576038901,6.884153021720427,24.35552198882041
7.01987623593694,20.85685855985463,6.6488336562983,23.84124099003646
6.771564496012044,20.45557886583105,6.428326522804915,23.31977601998163
6.539256163886781,20.04875224732092,6.221295376171439,22.7904070081451
6.321490939756593,19.63590561136254,6.026543867325813,22.25247223745789
6.116962824767699,19.21659639010253,5.842999438105486,21.7053810305262
5.924502695477994,18.79042113415339,5.669698860528851,21.14862687324009
5.743062548873629,18.3570238734769,5.505775340333705,20.58180134627302
5.571701387480489,17.91610454436352,5.350447069585091,20.00460914340151
5.409572655436576,17.46742772350889,5.203007097989105,19.41688435756608
5.255913105826822,17.01083185501773,5.062814390113507,18.81860810377914
5.110032967204863,16.54623910008946,4.929285941217537,18.20992741449189
4.97130727633238,16.07366587841828,4.801889834710466,17.59117517997077
4.839168250289108,15.59323410090815,4.680139137413717,16.96289070650091
4.713098581324578,15.10518301095724,4.563586543584144,16.32584022383633
4.592625550266925,14.60988145225138,4.451819694344628,15.68103638934512
4.477315867811262,14.10784026130912,4.344457115314325,15.02975551566903
4.366771166870891,13.59972434093292,4.241144731474273,14.3735509076188
4.260624082950745,13.08636380675348,4.141552934198475,13.71426036272116
4.15853487288114,12.56876341771897,4.045374190216865,13.05400561604925
