leafValue(((- OP("/M0" "ids")) / pv("top-level" "W" ?resultsDir "/home/cadencea14/simulation/Pmos_2v_passfet_july_17/passfet_pmos_2v_90n/maestro/results/maestro/ExplorerRun.0/psf/Pmos_2v_passfet_july_17_passfet_pmos_2v_90n_1/psf/../../Pmos_2v_passfet_july_17_passfet_pmos_2v_90n_1" ?result "designParamVals")) "L" 3.2e-07) vs leafValue((OP("/M0" "gm") / (- OP("/M0" "ids"))) "L" 3.2e-07) X,leafValue(((- OP("/M0" "ids")) / pv("top-level" "W" ?resultsDir "/home/cadencea14/simulation/Pmos_2v_passfet_july_17/passfet_pmos_2v_90n/maestro/results/maestro/ExplorerRun.0/psf/Pmos_2v_passfet_july_17_passfet_pmos_2v_90n_1/psf/../../Pmos_2v_passfet_july_17_passfet_pmos_2v_90n_1" ?result "designParamVals")) "L" 3.2e-07) vs leafValue((OP("/M0" "gm") / (- OP("/M0" "ids"))) "L" 3.2e-07) Y,leafValue(((- OP("/M0" "ids")) / pv("top-level" "W" ?resultsDir "/home/cadencea14/simulation/Pmos_2v_passfet_july_17/passfet_pmos_2v_90n/maestro/results/maestro/ExplorerRun.0/psf/Pmos_2v_passfet_july_17_passfet_pmos_2v_90n_1/psf/../../Pmos_2v_passfet_july_17_passfet_pmos_2v_90n_1" ?result "designParamVals")) "L" 3.65e-07) vs leafValue((OP("/M0" "gm") / (- OP("/M0" "ids"))) "L" 3.65e-07) X,leafValue(((- OP("/M0" "ids")) / pv("top-level" "W" ?resultsDir "/home/cadencea14/simulation/Pmos_2v_passfet_july_17/passfet_pmos_2v_90n/maestro/results/maestro/ExplorerRun.0/psf/Pmos_2v_passfet_july_17_passfet_pmos_2v_90n_1/psf/../../Pmos_2v_passfet_july_17_passfet_pmos_2v_90n_1" ?result "designParamVals")) "L" 3.65e-07) vs leafValue((OP("/M0" "gm") / (- OP("/M0" "ids"))) "L" 3.65e-07) Y
48.77759039817327,5.375546561040693e-08,48.73921201586025,1.098804743216016e-07
48.74777816686115,8.753826955359462e-08,48.69889431216011,1.788575500960571e-07
48.71270629925031,1.425059013556599e-07,48.65047947044432,2.910060691847722e-07
48.67095049178463,2.319003959492139e-07,48.59179939299721,4.732222318494405e-07
48.62071145782635,3.771994889619291e-07,48.52012972640449,7.690353122738707e-07
48.55972236186064,6.131970960740868e-07,48.4320615471742,1.248768491645305e-06
48.48513719262353,9.961754548724899e-07,48.32335231483507,2.025778654636517e-06
48.39339855686669,1.617006812316995e-06,48.18875851031392,3.282281481049301e-06
48.28008500079964,2.622070549655555e-06,48.02185713004061,5.31015898764113e-06
48.13974102423327,4.246472025240437e-06,47.81487088150259,8.574926717593903e-06
47.96569819080625,6.866447960404377e-06,47.55852351660778,1.381499824439382e-05
47.74990408225653,1.108134969865572e-05,47.24196801157002,2.219378714342267e-05
47.48278827488853,1.784055291647577e-05,46.85285109550234,3.552911339603473e-05
47.15321168226323,2.863733293118332e-05,46.37760059875795,5.663246277767258e-05
46.74856704013991,4.580019053570737e-05,45.80204084917376,8.979865986819602e-05
46.25512103958214,7.292172435231422e-05,45.11244346629359,0.0001414919505741896
45.65870524243497,0.0001154742262360439,44.29708731821917,0.0002212734477833681
44.94585972974235,0.0001816664526119821,43.34831017000653,0.0003430029651931157
44.10549038419742,0.0002835926698010466,42.26487274098496,0.0005263232507898834
43.13099646056435,0.0004387080888500886,41.05424042509604,0.0007984012829982325
42.02265074310672,0.0006716327076016585,39.73418666053257,0.001195876111732723
40.78979551617064,0.001016246239659617,38.33305246732928,0.001766973787603147
39.45223227421312,0.001518012520699609,36.88817743822298,0.002573825960814042
38.04015440083742,0.002236497022804012,35.44247488095878,0.003695178302450463
36.59220805104282,0.003248147017994845,34.03971743687838,0.005229869328414704
35.15176497413112,0.004649593027726149,32.71955540862997,0.007301640172195677
33.76207943635688,0.006561960082024835,31.51336217268226,0.01006594551539411
32.46139699355761,0.00913687531772168,30.44164764501694,0.01371945841572964
31.2790685705141,0.01256496522958262,29.51319868885719,0.01851292024405987
30.23330655754239,0.01708764209863999,28.72559024276812,0.02476790277145985
29.33062997020665,0.0230129160817473,28.06647159379537,0.03289788845636592
